#,Token,Symbol,Address,Reputation,Labels,Symbol_lower,Rank,Asset,Symbol_y,Price,Marketcap,Category,Sector,Tags,similarity,type,Category_clean,duplicated
984,DePay,DEPAY,0xa0bed124a09ac2bd941b10349d8d224fe3c955eb,,,depay,,,,,,,,,0,,,
985,BarnBridge Governance Token,BOND,0x0391d2021f89dc339f60fff84546ea23e337750f,,,bond,1862,BarnBridge,BOND,$0.26,$2.54M,Financial Services,Yield Services,"['DAO', 'DeFi']",100,Protocol,Financial Services,
986,RAE Token,RAE,0xe5a3229ccb22b6484594973a03a3851dcd948756,,,rae,,,,,,,,,0,,,
987,Wrapped CHI,WCHI,0x6dc02164d75651758ac74435806093e421b64605,,,wchi,,,,,,,,,0,,,
988,GAM3S.GG,G3,0xcf67815cce72e682eb4429eca46843bed81ca739,,,g3,,,,,,,,,0,,,
989,Darwinia Network Native Token,RING,0x9469d013805bffb7d3debe5e7839237e535ec483,,,ring,1953,Darwinia Network,RING,$0.00,$2.14M,Cross-Chain Interoperability,Generalized Bridge,,100,Protocol,Generalized Bridge,
990,Wrapped Stream,WSTRM,0x94a7f270cd12545a277e656266aef5e27df3eb28,,,wstrm,,,,,,,,,0,,,
991,MAIV,MAIV,0x39903a1a6f289a67e0de94096915c4ccd506ab2a,,,maiv,,,,,,,,,0,,,
992,PoolTogether,POOL,0x0cec1a9154ff802e7934fc916ed7ca50bde6844e,,,pool,1337,PoolTogether,POOL,$1.04,$7.45M,Financial Services,Yield Services,"['DAO', 'DeFi']",100,Protocol,Financial Services,
993,Populous,PPT,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,,,ppt,1005,Populous,PPT,$0.31,$16.67M,Marketplaces,Exchange,,100,Protocol,Marketplaces,
994,Wrapped MIR Token,MIR,0x09a3ecafa817268f77be1283176b946c4ff2e608,,,mir,1914,Mirror Protocol,MIR,$0.01,$2.31M,Marketplaces,Derivatives,"['DeFi', 'Derivatives']",25,Protocol,Marketplaces,
995,Mystiko Token,XZK,0xe8fc52b1bb3a40fd8889c0f8f75879676310ddf0,,,xzk,,,,,,,,,0,,,
996,Omira,OMIRA,0x06113abcef9d163c026441b112e70c82ee1c4a79,,,omira,,,,,,,,,0,,,
997,Kenshi,KNS,0xf1264873436a0771e440e2b28072fafcc5eebd01,,,kns,,,,,,,,,0,,,
998,NanoByte Token,NBT,0x446f2a8a39cc730ef378be759a3c57f1a3fe824c,,,nbt,1984,NanoByte,NBT,$0.00,$2.04M,Cryptocurrency,Cryptocurrency,,100,Cryptocurrency,Cryptocurrency,
999,MTD,MTD,0x809e130e10e787139c54e1d12d3d1971b7a675bf,,,mtd,1890,Minted,mtd,$0.01,$2.39M,Marketplaces,Exchange,['NFT Exchange'],50,Protocol,Marketplaces,
1000,XDEFI,XDEFI,0x72b886d09c117654ab7da13a14d603001de0b777,,,xdefi,1931,XDEFI,XDEFI,$0.02,$2.25M,,,,100,,,
1001,Ledger Ai,LEDGER,0xd1f2586790a5bd6da1e443441df53af6ec213d83,,,ledger,1842,Ledger AI,ledger,$0.00,$2.65M,Data,Analytics,['A.I.'],94,Protocol,Others,
1002,QuadrantProtocol,eQUAD,0xc28e931814725bbeb9e670676fabbcb694fe7df2,,,equad,,,,,,,,,0,,,
1003,BananaCat,BCAT,0x0590cc9232ebf68d81f6707a119898219342ecb9,,,bcat,,,,,,,,,0,,,
1004,Wrapped Evmos,WEVMOS,0x93581991f68dbae1ea105233b67f7fa0d6bdee7b,,,wevmos,,,,,,,,,0,,,
1005,Liberland Dollar,LLD,0x054c9d4c6f4ea4e14391addd1812106c97d05690,NEUTRAL,,lld,1955,Liberland LLD,lld,$2.12,$2.13M,,,,92,,,
1006,CRUST,CRU,0x32a7c02e79c4ea1008dd6564b35f131428673c41,NEUTRAL,"['Storage', 'Services / Solutions']",cru,1899,Crust,CRU,$0.09,$2.36M,Physical Infrastructure Networks,File Storage,['DePIN'],33,Protocol,Others,
1007,Everest ID,ID,0xebd9d99a3982d547c5bb4db7e3b1f9f14b67eb83,,,id,261,Space ID,ID,$0.20,$202M,Consumer Infrastructure,"Identity, Reputation, and Credentialing","['NFT Exchange', 'NFTs']",57,Protocol,Others,
1008,Inspect,INSP,0x186ef81fd8e77eec8bffc3039e7ec41d5fc0b457,NEUTRAL,,insp,,,,,,,,,0,,,
1009,Sonic USD,scUSD,0xd3dce716f3ef535c5ff8d041c1a41c3bd89b97ae,,,scusd,,,,,,,,,0,,,
1010,QSTAR,Q*,0x9abfc0f085c82ec1be31d30843965fcc63053ffe,,,q*,,,,,,,,,0,,,
1011,Mettalex,MTLX,0x2e1e15c44ffe4df6a0cb7371cd00d5028e571d14,,,mtlx,1309,MTLX,MTLX,$1.97,$8.03M,Marketplaces,Exchange,"['Automated Market Maker (AMM)', 'Decentralized Exchange']",40,Protocol,Marketplaces,
1012,MLTToken,ML,0x059956483753947536204e89bfad909e1a434cc6,NEUTRAL,['Layer 2'],ml,1435,Mintlayer,ml,$0.03,$5.85M,Networks,Scaling Solutions,"['Bitcoin Layer 2', 'DeFi']",36,Protocol,Networks,
1013,bZx Protocol Token,BZRX,0x56d811088235f11c8920698a204a5010a788f4b3,,,bzrx,,,,,,,,,0,,,
1014,SocialGood,SG,0xddf7fd345d54ff4b40079579d4c4670415dbfd0a,,,sg,1843,SocialGood,SG,$0.12,$2.65M,Cryptocurrency,Cryptocurrency,,100,Cryptocurrency,Cryptocurrency,
1015,RealityMetaverse,RMV,0x423352f2c6e0e72422b69af03aba259310146d90,,,rmv,,,,,,,,,0,,,
1016,Wrapped VENOM,WVENOM,0x46f84dc6564cdd93922f7bfb88b03d35308d87c9,,,wvenom,,,,,,,,,0,,,
1017,Satoshi Nakamoto,SATOSHI,0xcbf4d5efa82e32a9187385480a7c74cb062b956c,,,satoshi,,,,,,,,,0,,,
1018,MASQ,MASQ,0x06f3c323f0238c72bf35011071f2b5b7f43a054c,,,masq,,,,,,,,,0,,,
1019,Eden,EDEN,0x1559fa1b8f28238fd5d76d9f434ad86fd20d1559,,,eden,1703,Edenlayer,eden,$0.01,$3.44M,,,,100,,,
1020,Donut,DONUT,0xc0f9bd5fa5698b6505f643900ffa515ea5df54a9,,,donut,,,,,,,,,0,,,
1021,LUFFY,LUFFY,0x54012cdf4119de84218f7eb90eeb87e25ae6ebd7,,,luffy,,,,,,,,,0,,,
1022,LayerAI Token,LAI,0x168e209d7b2f58f1f24b8ae7b7d35e662bbf11cc,NEUTRAL,['Artificial Intelligence'],lai,,,,,,,,,0,,,
1023,HaraToken,HART,0x52928c95c4c7e934e0efcfab08853a0e4558861d,,,hart,,,,,,,,,0,,,
1024,Switcheo Token,SWTH,0xb4371da53140417cbb3362055374b10d97e420bb,,,swth,,,,,,,,,0,,,
1025,Azuro,AZUR,0x9e6be44cc1236eef7e1f197418592d363bedcd5a,,,azur,,,,,,,,,0,,,
1026,Baby Pepe,BABYPEPE,0x69babe9811cc86dcfc3b8f9a14de6470dd18eda4,NEUTRAL,,babypepe,1949,Baby Pepe,babypepe,$0.0₅512,$2.15M,,,,100,,,
1027,CircuitsOfValue,Coval,0x3d658390460295fb963f54dc0899cfb1c30776df,,,coval,,,,,,,,,0,,,
1028,Carbify,CBY,0xb9d27bc093ed0a3b7c18366266704cfe5e7af77b,,,cby,87,Carbify,cby,$0.18,$1.77M,Synthetic Assets,Real World Assets,['Carbon Credits'],100,Synthetic,Others,
1029,UNFI,UNFI,0x441761326490cacf7af299725b6292597ee822c2,,,unfi,,,,,,,,,0,,,
1030,DEUS,DEUS,0xde5ed76e7c05ec5e4572cfc88d1acea165109e44,,,deus,,,,,,,,,0,,,
1031,BoxBet,BXBT,0x33f289d91286535c47270c8479f6776fb3adeb3e,,,bxbt,1964,BoxBet,bxbt,$0.02,$2.10M,Marketplaces,Prediction,['Gamble-Fi'],100,Protocol,Marketplaces,
1032,CarryToken,CRE,0x115ec79f1de567ec68b7ae7eda501b406626478e,,,cre,,,,,,,,,0,,,
1033,XEND,XEND,0xe4cfe9eaa8cdb0942a80b7bc68fd8ab0f6d44903,,,xend,1923,Xend,XEND,$0.02,$2.28M,Financial Services,Yield Services,"['Decentralized Exchange', 'DeFi']",40,Protocol,Financial Services,
1034,Xend Real World Asset,RWA,0x4563554284aa7148d6e6d0351519e954ba3b6e02,,,rwa,1512,RWA Inc.,rwa,$0.01,$5.03M,Synthetic Assets,Real World Assets,"['Enterprise Services', 'Launchpad and Crowdfunding']",25,Synthetic,Others,TRUE
1035,Cashaa,CAS,0xe8780b48bdb05f928697a5e8155f672ed91462f7,,,cas,,,,,,,,,0,,,
1036,FER,FER,0x2f32b39023da7d6a6486a85d12b346eb9c2a0d19,,,fer,,,,,,,,,0,,,
1037,Paribus,PBX,0xd528cf2e081f72908e086f8800977df826b5a483,,,pbx,,,,,,,,,0,,,
1038,VesperToken,VSP,0x1b40183efb4dd766f11bda7a7c3ad8982e998421,,,vsp,1884,VSP,VSP,$0.28,$2.42M,Financial Services,Yield Services,"['DAO', 'DeFi']",50,Protocol,Financial Services,
1039,Kinka,XNK,0x722a89f1b925fe41883978219c2176aecc7d6699,,,xnk,,,,,,,,,0,,,
1040,AAG,AAG,0x5ba19d656b65f1684cfea4af428c23b9f3628f97,,,aag,,,,,,,,,0,,,
1041,unification.com/xfund,xFUND,0x892a6f9df0147e5f079b0993f486f9aca3c87881,,,xfund,,,,,,,,,0,,,
1042,Idexo Token,IDO,0xf9c53268e9de692ae1b2ea5216e24e1c3ad7cb1e,,,ido,,,,,,,,,0,,,
1043,GAINS,GAINS,0x056c1d42fb1326f57da7f19ebb7dda4673f1ff55,,,gains,,,,,,,,,0,,,
1044,BuildAI,BUILD,0x73454acfddb7a36a3cd8eb171fbea86c6a55e550,,,build,,,,,,,,,0,,,
1045,RFOX,RFOX,0xa1d6df714f91debf4e0802a542e13067f31b8262,,,rfox,,,,,,,,,0,,,
1046,Meta,MTA,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,,,mta,,,,,,,,,0,,,
1047,Chirpley Token,CHRP,0x70bc0dc6414eb8974bc70685f798838a87d8cce4,,,chrp,1992,Chirpley,chrp,$0.00,$2.01M,Consumer Infrastructure,Social Media,['A.I.'],100,Protocol,Others,
1048,eUSD,eUSD,0xdf3ac4f479375802a821f7b7b46cd7eb5e4262cc,,,eusd,909,Electronic USD,eusd,$1.00,$22.08M,Cryptocurrency,Stablecoins,['U.S. Dollar Stablecoin'],86,Cryptocurrency,Stablecoins,
1049,Koinos,KOIN,0x66d28cb58487a7609877550e1a34691810a6b9fc,,,koin,1665,Koinos,KOIN,$0.04,$3.68M,Networks,Smart Contract Platform,,100,Protocol,Networks,
1050,Koinos,KOIN,0xed11c9bcf69fdd2eefd9fe751bfca32f171d53ae,,,koin,1665,Koinos,KOIN,$0.04,$3.68M,Networks,Smart Contract Platform,,100,Protocol,Networks,
1051,Home3,HTS,0xc40629464351c37c1e1f47b3640ea2e7aec31ea5,,,hts,,,,,,,,,0,,,
1052,Wrapped Ultimate Synthetic Delta Neutral,WUSDN,0x99999999999999cc837c997b882957dafdcb1af9,,,wusdn,,,,,,,,,0,,,
1053,Streamity,STM,0x0e22734e078d6e399bcee40a549db591c4ea46cb,,,stm,,,,,,,,,0,,,
1054,Bitrock,BITROCK,0xde67d97b8770dc98c746a3fc0093c538666eb493,,,bitrock,,,,,,,,,0,,,
1055,CryptoFranc,XCHF,0xb4272071ecadd69d933adcd19ca99fe80664fc08,,,xchf,,,,,,,,,0,,,
1056,Lybra,LBR,0xed1167b6dc64e8a366db86f2e952a482d0981ebd,NEUTRAL,"['DeFi', 'Staking']",lbr,1972,Lybra Finance,LBR,$0.06,$2.08M,,,['LST-Fi'],100,,,
1057,Morpheus Infrastructure Node,MIND,0xc9eb61ffb66d5815d643bbb8195e17c49687ae1e,,,mind,,,,,,,,,0,,,
1058,Morpheus Infrastructure Token,MITx,0x4a527d8fc13c5203ab24ba0944f4cb14658d1db6,,,mitx,1828,Morpheus Labs,MITX,$0.00,$2.71M,Developer Tooling,Developer Tooling,['Enterprise Services'],82,Protocol,Others,
1059,Peezy,PEEZY,0x698b1d54e936b9f772b8f58447194bbc82ec1933,,,peezy,1781,Young Peezy AKA Pepe,peezy,$0.00,$3.03M,,,,100,,,
1060,Abyss,ABYSS,0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,,,abyss,,,,,,,,,0,,,
1061,Mancium,MANC,0xe0c05ec44775e4ad62cdc2eecdf337aa7a143363,,,manc,1790,Mancium,manc,$0.28,$2.97M,,,,100,,,
1062,Decentral Games,DG,0x4b520c812e8430659fc9f12f6d0c39026c83588d,,,dg,780,DeGate,DG,$0.08,$30M,Marketplaces,Exchange,"['Decentralized Exchange', 'DeFi']",60,Protocol,Marketplaces,
1063,Cardstack,CARD,0x954b890704693af242613edef1b603825afcd708,,,card,,,,,,,,,0,,,
1064,UnmarshalToken,MARSH,0x5a666c7d92e5fa7edcb6390e4efd6d0cdd69cf37,,,marsh,,,,,,,,,0,,,
1065,Xfinance,XFI,0x5befbb272290dd5b8521d4a938f6c4757742c430,,,xfi,1499,CrossFi,xfi,$0.12,$5.13M,Financial Services,Payments,,20,Protocol,Financial Services,
1066,Asterix,ASTX,0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,NEUTRAL,,astx,,,,,,,,,0,,,
1067,LightLink,LL,0x0921799cb1d702148131024d18fcde022129dc73,,,ll,1558,LightLink,ll,$0.02,$4.55M,Networks,Scaling Solutions,['Ethereum Layer-2'],100,Protocol,Networks,
1068,BetProtocolToken,BEPRO,0xcf3c8be2e2c42331da80ef210e9b1b307c03d36a,,,bepro,2000,BEPRO Network,BEPRO,$0.00,$1.98M,Consultancy and Advisory,Software Development Services,['DeFi'],44,Protocol,Others,
1069,ONINO,ONI,0x822757d09a8d5db5874be7f367eafae2af32d64b,,,oni,,,,,,,,,0,,,
1070,BDPToken,BDP,0xf3dcbc6d72a4e1892f7917b7c43b74131df8480e,,,bdp,,,,,,,,,0,,,
1071,Fusion,FSN,0xd0352a019e9ab9d757776f532377aaebd36fd541,,,fsn,,,,,,,,,0,,,
1072,Fusion,anyFSN,0x979aca85ba37c675e78322ed5d97fa980b9bdf00,,,anyfsn,,,,,,,,,0,,,
1073,Fusion,FSN,0x9afc975edb8a0b57f066e8e0a72a5e2adbdcb605,,,fsn,,,,,,,,,0,,,
1074,K9 Finance DAO,KNINE,0x91fbb2503ac69702061f1ac6885759fc853e6eae,NEUTRAL,"['MEME', 'Liquid staking']",knine,1874,K9 Finance DAO,knine,$0.0₅384,$2.48M,Mining and Validation,Liquid Staking,"['DeFi', 'LST-Fi']",100,Protocol,Liquid Staking,
1075,Neos Credits,NCR,0xdb5c3c46e28b53a39c255aa39a411dd64e5fed9c,,,ncr,,,,,,,,,0,,,
1076,EFFORCE IEO,WOZX,0x34950ff2b487d9e5282c5ab342d08a2f712eb79f,NEUTRAL,['Energy Sector'],wozx,,,,,,,,,0,,,
1077,Inter Stable Token (IBC),IST,0x7d1b634d825221e8d8f619c5fa06a3f57dafd5c6,,,ist,,,,,,,,,0,,,
1078,Sora Validator Token,VAL,0xe88f8313e61a97cec1871ee37fbbe2a8bf3ed1e4,,,val,30,Sora Validator Token,VAL,$0.03,$1.47M,Mining and Validation,Validator Operations and Support,,100,Protocol,Mining and Validation,
1079,Mumu,MUMU,0x2f573070e6090b3264fe707e2c9f201716f123c7,NEUTRAL,['DeFi'],mumu,1174,MUMU THE BULL,mumu,$0.0₅480,$11.24M,Cryptocurrency,Cryptocurrency,['Meme'],40,Cryptocurrency,Cryptocurrency,
1080,SatoshiVM,SAVM,0x15e6e0d4ebeac120f9a97e71faa6a0235b85ed12,NEUTRAL,['Layer 2'],savm,,,,,,,,,0,,,
1081,SpookyToken,BOO,0x55af5865807b196bd0197e0902746f31fbccfa58,,,boo,1986,Spookyswap,BOO,$0.20,$2.04M,Marketplaces,Exchange,"['Automated Market Maker (AMM)', 'Decentralized Exchange']",75,Protocol,Marketplaces,
1082,Catboy,CATBOY,0xca9b8d6df0729d85dcfc8ef8bb18af1ad1990786,,,catboy,,,,,,,,,0,,,
1083,Handy Token,HANDY,0x8bbe1a2961b41340468d0548c2cd5b7dfa9b684c,,,handy,1346,Handy,HANDY,$0.00,$7.29M,,,,100,,,
1084,TypeAI,TYPE,0x443459d45c30a03f90037d011cbe22e2183d3b12,,,type,,,,,,,,,0,,,
1085,LockTrip,LOC,0x5e3346444010135322268a4630d2ed5f8d09446c,,,loc,,,,,,,,,0,,,
1086,Media Licensing Token,MLT,0x9506d37f70eb4c3d79c398d326c871abbf10521d,,,mlt,,,,,,,,,0,,,
1087,REVV,REVV,0x557b933a7c2c45672b610f8954a3deb39a51a8ca,,,revv,,,,,,,,,0,,,
1088,SPEEDY,$SPEEDY,0xc8f69a9b46b235de8d0b77c355fff7994f1b090f,,,$speedy,,,,,,,,,0,,,
1089,UBXS Token,UBXS,0xfe6e6b60e441a383983ece2139e3ca3b3239e49e,,,ubxs,,,,,,,,,0,,,
1090,YAKU,YAKU,0x1155db64b59265f57533bc0f9ae012fffd34eb7f,,,yaku,,,,,,,,,0,,,
1091,ETHEREUM IS GOOD,EBULL,0x71297312753ea7a2570a5a3278ed70d9a75f4f44,,,ebull,,,,,,,,,0,,,
1092,Presearch,PRE,0xec213f83defb583af3a000b1c0ada660b1902a0f,,,pre,,,,,,,,,0,,,
1093,Convertible JPY Token,CJPY,0x1cfa5641c01406ab8ac350ded7d735ec41298372,,,cjpy,,,,,,,,,0,,,
1094,PolkaFoundry,PKF,0x8b39b70e39aa811b69365398e0aace9bee238aeb,,,pkf,,,,,,,,,0,,,
1095,holoride,RIDE,0xf97e2a78f1f3d1fd438ff7cc3bb7de01e5945b83,,,ride,,,,,,,,,0,,,
1096,Godcoin,GOD,0xb5130f4767ab0acc579f25a76e8f9e977cb3f948,,,god,,,,,,,,,0,,,
1097,JARVIS,JARVIS,0xbd8fdda057de7e0162b7a386bec253844b5e07a5,,,jarvis,,,,,,,,,0,,,
1098,Wall Street Memes,WSM,0xb62e45c3df611dce236a6ddc7a493d79f9dfadef,,,wsm,,,,,,,,,0,,,
1099,Tokenomy,TEN,0xdd16ec0f66e54d453e6756713e533355989040e4,,,ten,,,,,,,,,0,,,
1100,Vabble,VAB,0xe7ae6d0c56cacaf007b7e4d312f9af686a9e9a04,,,vab,,,,,,,,,0,,,
1101,Gifto,GTO,0xc5bbae50781be1669306b9e001eff57a2957b09d,,,gto,,,,,,,,,0,,,
1102,TAO Inu,TAONU,0x4e9fcd48af4738e3bf1382009dc1e93ebfce698f,,,taonu,,,,,,,,,0,,,
1103,CheemsInu,CINU,0xa64d5d1eb67748226d84812b45711453f1118c32,,,cinu,,,,,,,,,0,,,
1104,Sage Market,SAGE,0xa71261c2b51cb8030700f5601ca597c522dc232e,,,sage,,,,,,,,,0,,,
1105,Salt,SALT,0x4156d3342d5c385a87d264f90653733592000581,,,salt,,,,,,,,,0,,,
1106,Revain,REV,0x2ef52ed7de8c5ce03a4ef0efbe9b7450f2d7edc9,,,rev,,,,,,,,,0,,,
1107,SolarCoin on Mainnet,SLR,0x4e9e4ab99cfc14b852f552f5fb3aa68617825b6c,,,slr,,,,,,,,,0,,,
1108,Safe Haven Token,SHA,0x40fed5691e547885cabd7a2990de719dcc8497fc,,,sha,,,,,,,,,0,,,
1109,HARD Protocol,HARD,0x1c700f95df53fc31e83d89ac89e5dd778d4cd310,,,hard,,,,,,,,,0,,,
1110,Usk,USK,0x1b3c515f58857e141a966b33182f2f3feecc10e9,,,usk,,,,,,,,,0,,,
1111,MultiVAC,MTV,0x6226e00bcac68b0fe55583b90a1d727c14fab77f,,,mtv,,,,,,,,,0,,,
1112,Umbrella,UMB,0x6fc13eace26590b80cccab1ba5d51890577d83b2,,,umb,,,,,,,,,0,,,
1113,NAGA Coin,NGC,0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131,,,ngc,,,,,,,,,0,,,
1114,Open Meta City,OMZ,0xd7d9babf56a66daff2ac5dc96f7e886c05124676,,,omz,,,,,,,,,0,,,
1115,Hxro,HXRO,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,,,hxro,,,,,,,,,0,,,
1116,Precipitate.AI,RAIN,0xe3944ab788a60ca266f1eec3c26925b95f6370ad,,,rain,,,,,,,,,0,,,
1117,dotmoovs,MOOV,0x4116f14b6d462b32a1c10f98049e4b1765e34fa9,,,moov,,,,,,,,,0,,,
1118,Poly Ontology Wing Token,pWING,0xdb0f18081b505a7de20b18ac41856bcb4ba86a1a,,,pwing,,,,,,,,,0,,,
1119,Green Grey MetaGame Token,GGMT,0x76aab5fd2243d99eac92d4d9ebf23525d3ace4ec,,,ggmt,,,,,,,,,0,,,
1120,Robotaxi,TAXI,0x2597342ff387b63846eb456419590781c4bfcdaf,,,taxi,,,,,,,,,0,,,
1121,XIDO FINANCE,XIDO,0xf6650117017ffd48b725b4ec5a00b414097108a7,,,xido,,,,,,,,,0,,,
1122,Twin Token,TWIN,0x48fd84c0dfc47f1b61ed6a86367895aaa6ad2a45,,,twin,,,,,,,,,0,,,
1123,ProBit Token,PROB,0xfb559ce67ff522ec0b9ba7f5dc9dc7ef6c139803,,,prob,,,,,,,,,0,,,
1124,SOPH AI Token,SOPH,0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380,,,soph,,,,,,,,,0,,,
1125,Wrapped Commune AI,wCOMAI,0xc78b628b060258300218740b1a7a5b3c82b3bd9f,NEUTRAL,,wcomai,,,,,,,,,0,,,
1126,SENATE,SENATE,0x34be5b8c30ee4fde069dc878989686abe9884470,,,senate,,,,,,,,,0,,,
1127,Powerloom Token,POWER,0x429f0d8233e517f9acf6f0c8293bf35804063a83,,,power,,,,,,,,,0,,,
1128,Vector,VEC,0x1bb9b64927e0c5e207c9db4093b3738eef5d8447,,,vec,,,,,,,,,0,,,
1129,Staked Avail,stAVAIL,0x3742f3fcc56b2d46c7b8ca77c23be60cd43ca80a,,,stavail,,,,,,,,,0,,,
1130,Alongside Crypto Market Index,AMKT,0xf17a3fe536f8f7847f1385ec1bc967b2ca9cae8d,,,amkt,156,Alongside Crypto Market Index,amkt,$249.77,,Synthetic Assets,Indexes,['Index Token'],100,Synthetic,Indexes,
1131,3SPACE ART,PACE,0x8bc2bcb1b1896291942c36f3cca3c1afa0aaa7fd,,,pace,,,,,,,,,0,,,
1132,Zygo The Frog,ZYGO,0xee2b9b7e168b5b2d40c507b891c7cfb13a6aaf2b,,,zygo,,,,,,,,,0,,,
1133,Shyft [ Wrapped ],SHFT,0xb17c88bda07d28b3838e0c1de6a30eafbcf52d85,,,shft,,,,,,,,,0,,,
1134,Welshare Health Token,WEL,0x1e762e1fac176bbb341656035daf5601b1c69be5,,,wel,,,,,,,,,0,,,
1135,Enigma,ENG,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,,,eng,,,,,,,,,0,,,
1136,Dock,DOCK,0xe5dada80aa6477e85d09747f2842f7993d0df71c,,,dock,,,,,,,,,0,,,
1137,Vidya,VIDYA,0x3d3d35bb9bec23b06ca00fe472b50e7a4c692c30,,,vidya,,,,,,,,,0,,,
1138,Kai Ken,KAI,0xa045fe936e26e1e1e1fb27c1f2ae3643acde0171,NEUTRAL,['MEME'],kai,645,KardiaChain,KAI,$0.00,$41.80M,Networks,Smart Contract Platform,,60,Protocol,Networks,
1139,VOLT.WIN,VOLT,0x66b5228cfd34d9f4d9f03188d67816286c7c0b74,,,volt,1074,Volt Inu,volt,$0.0₆222,$13.95M,,,['Meme'],29,,,
1140,Solidly,SOLID,0x777172d858dc1599914a1c4c6c9fc48c99a60990,,,solid,,,,,,,,,0,,,
1141,Saakuru,SKR,0xe2dca969624795985f2f083bcd0b674337ba130a,,,skr,,,,,,,,,0,,,
1142,Kuma Inu,KUMA,0x48c276e8d03813224bb1e55f953adb6d02fd3e02,,,kuma,,,,,,,,,0,,,
1143,GALAXIS Token,GALAXIS,0x423071774c43c0aaf4210b439e7cda8c797e2f26,,,galaxis,,,,,,,,,0,,,
1144,Avocado DAO Token,AVG,0xa41f142b6eb2b164f8164cae0716892ce02f311f,,,avg,,,,,,,,,0,,,
1145,Flute,FLUT,0x4f08705fb8f33affc231ed66e626b40e84a71870,,,flut,,,,,,,,,0,,,
1146,Shutter Token,SHU,0xe485e2f1bab389c08721b291f6b59780fec83fd7,,,shu,,,,,,,,,0,,,
1147,TOWER,TOWER,0x1c9922314ed1415c95b9fd453c3818fd41867d0b,,,tower,,,,,,,,,0,,,
1148,PRFI,PRFI,0x7bbcf1b600565ae023a1806ef637af4739de3255,,,prfi,,,,,,,,,0,,,
1149,AirDAO,AMB,0xf4fb9bf10e489ea3edb03e094939341399587b0c,,,amb,,,,,,,,,0,,,
1150,UMEE,UMEE,0xc0a4df35568f116c370e6a6a6022ceb908eeddac,,,umee,,,,,,,,,0,,,
1151,RTB,RTB,0x055999b83f9cade9e3988a0f34ef72817566800d,,,rtb,,,,,,,,,0,,,
1152,XMON,XMON,0x3aada3e213abf8529606924d8d1c55cbdc70bf74,,,xmon,,,,,,,,,0,,,
1153,Rari Governance Token,RGT,0xd291e7a03283640fdc51b121ac401383a46cc623,,,rgt,,,,,,,,,0,,,
1154,tBTC,TBTC,0x8daebade922df735c38c80c7ebd708af50815faa,,,tbtc,144,tBTC,TBTC,"$107,233.38",$489M,Synthetic Assets,Real World Assets,"['DeFi', 'Wrapped Bitcoin Asset']",100,Synthetic,Others,
1155,Dypius,DYP,0x39b46b212bdf15b42b166779b9d1787a68b9d0c3,,,dyp,,,,,,,,,0,,,
1156,Winkies,WNK,0xe1bda0c3bfa2be7f740f0119b6a34f057bd58eba,,,wnk,,,,,,,,,0,,,
1157,Flixx,FLIXX,0xf04a8ac553fcedb5ba99a64799155826c136b0be,,,flixx,,,,,,,,,0,,,
1158,Follow,FOLO,0xb2a63a5dd36c91ec2da59b188ff047f66fac122a,,,folo,,,,,,,,,0,,,
1159,NEST,NEST,0xcd6926193308d3b371fdd6a6219067e550000000,,,nest,,,,,,,,,0,,,
1160,Prophet of Ethereum,PROPHET,0x3fa55eb91be2c5d72890da11a4c0269e7f786555,,,prophet,,,,,,,,,0,,,
1161,History of Pepe,HOPE,0x3b37a9caf74ead14e521d46af0bf00737d827828,,,hope,,,,,,,,,0,,,
1162,ZeroLiquid,ZERO,0xb0ed33f79d89541dfdcb04a8f04bc2c6be025ecc,,,zero,1432,ZeroLend,zero,$0.00,$5.89M,Marketplaces,Lending,['DeFi'],77,Protocol,Marketplaces,
1163,Ÿ,YAI,0x477a3d269266994f15e9c43a8d9c0561c4928088,NEUTRAL,['Oracle'],yai,,,,,,,,,0,,,
1164,LAtoken,LA,0xe50365f5d679cb98a1dd62d6f6e58e59321bcddf,,,la,,,,,,,,,0,,,
1165,Unvest,UNV,0xdcb2fa7eab2507613417bb9762efa73093fc6b65,,,unv,,,,,,,,,0,,,
1166,0xBitcoin Token,0xBTC,0xb6ed7644c69416d67b522e20bc294a9a9b405b31,,,0xbtc,,,,,,,,,0,,,
1167,AME Token,AME,0x12513335ffd5dafc2334e98625d27c1ca84bff86,,,ame,,,,,,,,,0,,,
1168,GreenSatoshiToken,GST,0x473037de59cf9484632f4a27b509cfe8d4a31404,,,gst,1218,Green Satoshi Token,GST,$0.01,$9.97M,Metaverse and Gaming,Gaming,"['Move-to-Earn', 'NFTs']",88,Protocol,Metaverse and Gaming,
1169,WeWay Token,WWY,0x9ab70e92319f0b9127df78868fd3655fb9f1e322,,,wwy,,,,,,,,,0,,,
1170,D-Drops,DOP,0x2a7cad775fd9c5c43f996a948660ffc21b4e628c,,,dop,,,,,,,,,0,,,
